Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
102 Not Out (tt6580564),472,3692,0.163,0.107,1,35,115,0,0,"Comedy, Drama",0,102,Umesh Shukla,"Amitabh Bachchan, Vijay Raaz, Rishi Kapoor"
12th Fail (tt23849204),2739,11950,0.144,0.121,1,20,70,0,0,"Biography, Drama",0,147,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
16 December (tt0313844),1308,6077,0.143,0.118,1,4,9,0,0,"Action, Thriller",0,158,Mani Shankar,"Milind Soman, Danny Denzongpa, Gulshan Grover"
1920 (tt1301698),366,2059,0.107,0.09,0.991,7,14.5,0,0,"Horror, Mystery, Thriller",1,143,Vikram Bhatt,"Rakhi Sawant, Bob Brahmbhatt, Rajneesh Duggal"
19th January (tt3585456),570,2495,0.113,0.077,0.998,2,0.2,0,0,Drama,0,120,Sanjay Amar,"Mumtaz Ahmed, Bidita Bag, Madhuri Bhatia"
2 October (tt0463279),1507,7470,0.125,0.13,-0.999,0.75,0.19,0,0,"Action, Crime, Thriller",1,135,Sunil Tiwari,"Ashutosh Rana, Rocky Verma, Sadhika Randhawa"
2 States (tt2372678),2917,10790,0.176,0.106,1,45,177.73,0,1,"Comedy, Drama, Romance",0,149,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh"
3 Deewarein (tt0338490),888,4026,0.169,0.153,0.995,2,0.6,0,0,"Crime, Drama",0,115,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla"
5 Weddings (tt1971310),2091,8246,0.21,0.084,1,5,0.41,0,0,"Comedy, Drama, Romance",0,90,Namrata Singh Gujral,"Nargis Fakhri, Rajkummar Rao, Bo Derek"
7 Hours To Go (tt4365060),1898,8455,0.078,0.079,-0.998,4.5,0.86,0,0,"Crime, Thriller",0,115,Saurabh Varma,"Shiv Panditt, Ananya Raj, Varun Badola"
7 Khoon Maaf (tt1629376),1302,6630,0.182,0.113,1,15,33,0,0,"Comedy, Drama, Mystery",1,137,Vishal Bhardwaj,"Priyanka Chopra Jonas, Vivaan Shah, Neil Nitin Mukesh"
8 A.M. Metro (tt27511275),1763,8467,0.165,0.107,1,4,0.07,0,0,Drama,0,116,Raj Rachakonda,"Saiyami Kher, Gulshan Devaiah, Sandeep Bhardwaj"
A Flat (tt0988655),1106,4884,0.128,0.117,0.998,5.5,0.42,0,0,"Drama, Horror, Romance",1,103,Hemant Madhukar,"Jimmy Shergill, Sanjay Suri, Hazel Croney"
A Flying Jatt (tt5235880),2188,9499,0.191,0.081,1,55,57,0,0,"Action, Adventure, Comedy",0,151,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones"
A Thursday (tt13028258),1697,7685,0.214,0.077,1,3,6,0,0,"Drama, Thriller",1,128,Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia"
AK vs AK (tt11651796),2283,10258,0.12,0.117,-0.985,17,10.38,0,0,"Comedy, Crime, Drama",1,117,Jehangir Surti,"Neil Nitin Mukesh, Mukesh Agrohari, Bipasha Basu"
Aa Dekhen Zara (tt1372681),1009,5721,0.171,0.087,1,8,1,0,0,"Action, Mystery, Sci-Fi",0,144,Dheeraj Kumar,"Vishal Lalwani, Athit Naik, Hansika Motwani"
Aabra Ka Daabra (tt1137434),2104,8502,0.182,0.075,1,8,1.06,0,0,Fantasy,0,98,Hardik Gajjar,"Apoorva Arora, Kabir Bedi, Shah Bhavya"
Aachari Baa (tt36129120),958,4550,0.166,0.094,1,3,5,0,0,Drama,0,114,Indrajit Nattoji,"Neha Sharma, Ila Arun, Namit Das"
Aafat-E-Ishq (tt12631660),1431,5966,0.176,0.116,1,6,4.21,0,0,"Comedy, Drama, Thriller",1,117,"Indrajit Nattoji, Inderjeet Singh","Shreyas Talpade, Mahie Gill, Karanveer Mehra"
Aagey Se Right (tt1479667),546,2600,0.095,0.145,-1,6.5,8.78,0,0,"Comedy, Crime, Drama",0,153,Yogesh Ishwar,"Suniel Shetty, Sushmita Sen, Namrata Shirodkar"
Aaghaaz (tt0254927),1770,8973,0.121,0.141,-1,6.5,7.52,0,0,"Action, Crime, Drama",0,128,Imran Khalid,"Kasam Ali, Mithun Chakraborty, Gajendra Chauhan"
Aaj Ka Ravan (tt0437058),1509,6680,0.129,0.119,0.931,25,20.75,0,0,"Action, Crime",1,137,Anil Mehta,"Madhuri Dixit, Darshan Jariwala, Raghubir Yadav"
Aaja Nachle (tt0986213),1762,8208,0.139,0.099,1,4,0.67,0,0,"Drama, Family, Music",0,137,Deepak Kumar Bandhu,"Paul Sidhu, Sumona Chakravarti, Anant Jog"
Aakhari Decision (tt1606162),1723,7319,0.144,0.098,1,38,20.42,0,0,"Action, Drama, Thriller",1,139,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu"
Aakrosh (tt1708453),2536,11255,0.131,0.122,0.991,5,10.54,0,0,"Action, Crime, Drama",1,150,"K. Raghavendra Rao, A.S. Ravindra Babu","Govinda, Juhi Chawla, Tabu"
Aamdani Atthanni Kharcha Rupaiya (tt0305173),1797,8650,0.142,0.103,1,5,9,0,1,"Comedy, Drama, Family",0,99,Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul"
Aamir (tt1241195),921,4300,0.124,0.087,0.999,15,14.4,0,0,"Action, Crime, Drama",1,149,Madhur Bhandarkar,"Akshay Kumar, Shatrughan Sinha, Suniel Shetty"
Aan Men at Work (tt0363409),2746,13288,0.126,0.103,1,15,29.44,0,0,"Action, Crime, Drama",0,165,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen"
Aankhen (tt0306434),2372,10414,0.122,0.128,-0.999,35,1.71,0,0,"Crime, Drama, Thriller",0,140,Santosh Singh,"Shanaya Kapoor, Vikrant Massey, Zain Khan Durrani"
Aankhon Ki Gustaakhiyan (tt28812582),2272,10331,0.191,0.1,1,5.75,0.17,0,0,Romance,0,140,Glen Barretto,"Aftab Shivdasani, Aamna Sharif, Rati Agnihotri"
Aap Jaisa Koi (tt33888131),1817,8347,0.163,0.099,1,20,6.72,0,0,"Drama, Romance",0,122,Dharmesh Darshan,"Akshaye Khanna, Priyanka Chopra Jonas, Ameesha Patel"
Aap Ki Khatir (tt0810058),2809,12696,0.217,0.086,1,11.5,19.21,0,0,"Comedy, Romance",0,180,Vikram Bhatt,"Hrithik Roshan, Ameesha Patel, Kiran Kumar"
